token,category,meaning_batangas,meaning_laguna,dialect_tag
ga,particle,Question marker,ba,batangas
dine,location,here,dito,batangas
ala eh,expression,emphasis,none,batangas
nakain,verb,eating,eaten,batangas
mabanas,adjective,humid,irritated,batangas
po,politeness,formal,respect,laguna
opo,politeness,formal,respect,laguna
dito,location,here,standard,laguna
ganire,verb,like this,ganito,batangas
asbag,adjective,arrogant / boastful,(uncommon word),batangas
liban,verb,to cross the street,to be absent,batangas
urong,verb,to wash dishes,to move backward,batangas
bangaw,noun,wild/rabid dog,crazy person,batangas
pantay,verb,to lie down / sleep,even / equal,batangas
pumarine,verb,to come here,pumarito,batangas
huntahan,noun,chatting / storytelling,kwentuhan,batangas
ganito,verb,ganire in batangas,like this,laguna